SSN,Disease_Type,Age_Group,Gender,State,Race,Smoking,Alcohol_Consumption,Education_Level,Insurance_Type,Exercise_Frequency,Diet_Quality,Sleep_Hours,Stress_Level,Occupation,Family_History,BMI_Category,Income_Level
656-88-5659,Sleep Apnea,46-60,Other,Texas,Hispanic,Current,Never,Graduate degree,Medicare,3-4 times/week,Poor,7-8,Low,Education,No,Overweight,"$75,000-$100,000"
651-35-9860,Liver Disease,46-60,Male,California,Black,Never,Never,Graduate degree,Medicare,5+ times/week,Fair,8+,High,Healthcare,No,Normal,"$100,000+"
254-75-2881,Hypertension,18-30,Female,Washington,Hispanic,Never,Regular,Bachelor's degree,Medicaid,3-4 times/week,Good,7-8,High,Retired,Yes,Overweight,"$30,000-$50,000"
838-96-1005,Type 2 Diabetes,61+,Other,North Carolina,Native American,Former,Never,Some college,Uninsured,Never,Excellent,6-7,Medium,Retired,Yes,Obese,"$75,000-$100,000"
146-36-8000,Sleep Apnea,18-30,Male,Washington,Asian,Never,Occasional,High school graduate,Medicare,Never,Good,Less than 6,High,Service Industry,No,Underweight,"$100,000+"
479-79-4271,Chronic Respiratory Disease,46-60,Other,Arizona,Hispanic,Current,Heavy,Some college,Uninsured,1-2 times/week,Fair,Less than 6,Low,Healthcare,Yes,Overweight,"$100,000+"
645-52-2767,Lung Cancer,61+,Female,Pennsylvania,Asian,Current,Never,Bachelor's degree,Uninsured,Never,Poor,Less than 6,Low,Retired,Yes,Overweight,"$100,000+"
136-25-6252,Heart Disease,46-60,Male,California,Native American,Current,Heavy,Less than high school,Medicaid,5+ times/week,Good,7-8,Medium,Unemployed,No,Obese,"Less than $30,000"
737-86-6034,Hypertension,61+,Female,Florida,Caucasian,Never,Regular,Bachelor's degree,Uninsured,3-4 times/week,Good,Less than 6,Low,Office/Desk Job,Yes,Underweight,"$100,000+"
306-43-1537,Sleep Apnea,46-60,Male,New York,Other,Never,Never,Less than high school,Private,Never,Excellent,6-7,Low,Retired,Yes,Underweight,"$100,000+"
303-61-2549,Multiple Sclerosis,46-60,Other,Ohio,Asian,Current,Heavy,Graduate degree,Uninsured,1-2 times/week,Excellent,6-7,Medium,Unemployed,Yes,Normal,"$75,000-$100,000"
329-94-2315,Depression,61+,Female,California,Caucasian,Never,Occasional,Less than high school,Uninsured,5+ times/week,Excellent,7-8,Medium,Retired,No,Underweight,"$100,000+"
612-79-7770,Breast Cancer,46-60,Other,Massachusetts,Hispanic,Never,Occasional,Less than high school,Uninsured,Never,Good,Less than 6,High,Unemployed,Yes,Normal,"Less than $30,000"
659-33-2164,Heart Disease,46-60,Female,New York,Black,Former,Never,Graduate degree,Uninsured,1-2 times/week,Fair,7-8,Medium,Unemployed,Yes,Underweight,"$75,000-$100,000"
650-90-3197,Obesity,46-60,Other,Georgia,Black,Former,Heavy,Less than high school,Medicare,1-2 times/week,Fair,Less than 6,High,Office/Desk Job,No,Underweight,"$75,000-$100,000"
887-16-4805,Chronic Respiratory Disease,46-60,Male,Florida,Hispanic,Never,Heavy,High school graduate,Medicaid,1-2 times/week,Fair,8+,Medium,Healthcare,No,Overweight,"$75,000-$100,000"
266-16-4725,Obesity,46-60,Other,Massachusetts,Black,Current,Occasional,Less than high school,Uninsured,5+ times/week,Poor,Less than 6,Medium,Education,Yes,Underweight,"$100,000+"
319-75-3689,Fibromyalgia,46-60,Female,Georgia,Other,Current,Never,Some college,Uninsured,3-4 times/week,Poor,7-8,Medium,Unemployed,Yes,Overweight,"$100,000+"
919-63-7615,Breast Cancer,61+,Female,Colorado,Hispanic,Former,Regular,Less than high school,Uninsured,3-4 times/week,Excellent,6-7,Low,Retired,Yes,Normal,"$50,000-$75,000"
978-90-1385,Arthritis,46-60,Male,California,Hispanic,Current,Occasional,Graduate degree,Uninsured,1-2 times/week,Fair,8+,Medium,Education,No,Overweight,"$75,000-$100,000"
199-44-3389,Colorectal Cancer,46-60,Female,Pennsylvania,Other,Never,Regular,Graduate degree,Medicare,1-2 times/week,Poor,Less than 6,Medium,Retired,No,Underweight,"$100,000+"
959-94-1191,Depression,31-45,Other,Georgia,Caucasian,Current,Never,Some college,Medicaid,1-2 times/week,Poor,8+,Low,Service Industry,No,Overweight,"Less than $30,000"
347-99-2565,Heart Disease,46-60,Female,Ohio,Other,Never,Regular,Some college,Uninsured,1-2 times/week,Good,6-7,Medium,Education,No,Overweight,"$100,000+"
411-22-3515,Hypertension,61+,Female,Texas,Native American,Never,Occasional,High school graduate,Private,Never,Good,7-8,Medium,Retired,Yes,Obese,"$50,000-$75,000"
410-82-7929,Obesity,18-30,Other,Arizona,Hispanic,Never,Never,High school graduate,Medicaid,1-2 times/week,Poor,8+,Low,Unemployed,No,Overweight,"Less than $30,000"
184-71-7807,Arthritis,61+,Other,Ohio,Asian,Current,Never,Bachelor's degree,Uninsured,3-4 times/week,Good,6-7,Medium,Manual Labor,Yes,Underweight,"$75,000-$100,000"
712-78-7549,Hypertension,46-60,Male,Pennsylvania,Caucasian,Never,Occasional,Some college,Uninsured,5+ times/week,Excellent,Less than 6,Low,Healthcare,Yes,Overweight,"$30,000-$50,000"
859-69-1805,Heart Disease,46-60,Other,North Carolina,Other,Current,Heavy,Bachelor's degree,Uninsured,3-4 times/week,Fair,Less than 6,Low,Retired,Yes,Obese,"$100,000+"
675-52-8587,Obesity,61+,Female,California,Caucasian,Current,Regular,Bachelor's degree,Medicare,Never,Excellent,Less than 6,High,Office/Desk Job,Yes,Normal,"$75,000-$100,000"
588-66-8432,Multiple Sclerosis,46-60,Male,Florida,Caucasian,Never,Occasional,Bachelor's degree,Uninsured,5+ times/week,Excellent,8+,Low,Office/Desk Job,No,Underweight,"$100,000+"
251-56-7986,Liver Disease,46-60,Other,Texas,Asian,Current,Regular,Bachelor's degree,Private,Never,Good,Less than 6,High,Office/Desk Job,Yes,Overweight,"$50,000-$75,000"
403-42-7780,Obesity,61+,Other,Texas,Native American,Former,Regular,Graduate degree,Medicaid,1-2 times/week,Good,Less than 6,Medium,Retired,Yes,Obese,"$50,000-$75,000"
967-45-8229,Colorectal Cancer,46-60,Male,New York,Other,Never,Heavy,Graduate degree,Medicaid,5+ times/week,Fair,7-8,Low,Healthcare,No,Normal,"$100,000+"
925-13-9394,Arthritis,18-30,Female,Florida,Black,Never,Never,Graduate degree,Private,Never,Fair,Less than 6,Low,Office/Desk Job,Yes,Underweight,"$100,000+"
751-39-2195,Breast Cancer,46-60,Female,New York,Native American,Current,Heavy,Graduate degree,Medicaid,1-2 times/week,Fair,7-8,Medium,Service Industry,No,Normal,"$75,000-$100,000"
823-64-6700,Liver Disease,61+,Male,North Carolina,Other,Current,Never,Less than high school,Medicaid,3-4 times/week,Good,6-7,Medium,Retired,Yes,Normal,"$50,000-$75,000"
143-37-2226,Obesity,18-30,Other,Michigan,Asian,Never,Never,Some college,Private,5+ times/week,Good,8+,Medium,Education,No,Underweight,"$30,000-$50,000"
985-63-7590,Chronic Respiratory Disease,46-60,Male,New York,Hispanic,Never,Occasional,Bachelor's degree,Medicaid,1-2 times/week,Poor,7-8,Low,Manual Labor,Yes,Underweight,"$50,000-$75,000"
240-57-5509,Obesity,31-45,Female,North Carolina,Native American,Former,Never,Graduate degree,Medicaid,5+ times/week,Excellent,Less than 6,Medium,Healthcare,No,Obese,"$100,000+"
763-79-9874,Arthritis,46-60,Female,Pennsylvania,Asian,Never,Occasional,Bachelor's degree,Medicare,1-2 times/week,Fair,8+,Medium,Manual Labor,Yes,Overweight,"Less than $30,000"
182-13-2635,Arthritis,61+,Male,California,Hispanic,Former,Occasional,Bachelor's degree,Private,3-4 times/week,Excellent,8+,Medium,Retired,No,Underweight,"$100,000+"
222-18-9554,Hypertension,46-60,Female,Ohio,Other,Never,Heavy,High school graduate,Medicaid,5+ times/week,Fair,8+,Low,Healthcare,Yes,Underweight,"$30,000-$50,000"
936-56-7741,Chronic Respiratory Disease,61+,Male,Virginia,Asian,Current,Never,Graduate degree,Medicare,Never,Good,7-8,Medium,Healthcare,Yes,Overweight,"$75,000-$100,000"
554-54-7028,Depression,61+,Female,Virginia,Black,Never,Never,Some college,Medicaid,Never,Excellent,6-7,High,Office/Desk Job,Yes,Normal,"Less than $30,000"
850-19-2667,Type 2 Diabetes,46-60,Female,Michigan,Hispanic,Never,Never,Graduate degree,Private,3-4 times/week,Fair,Less than 6,Low,Retired,Yes,Underweight,"$50,000-$75,000"
695-87-1595,Lung Cancer,61+,Other,Michigan,Hispanic,Current,Occasional,Graduate degree,Private,Never,Poor,Less than 6,Low,Manual Labor,No,Underweight,"Less than $30,000"
342-67-4638,Heart Disease,61+,Other,Colorado,Native American,Former,Heavy,Some college,Private,3-4 times/week,Excellent,6-7,Low,Retired,No,Overweight,"$100,000+"
802-38-2653,Obesity,31-45,Female,New York,Native American,Never,Heavy,Less than high school,Medicaid,5+ times/week,Excellent,8+,High,Manual Labor,Yes,Normal,"$30,000-$50,000"
127-34-8741,Liver Disease,61+,Female,Massachusetts,Caucasian,Current,Occasional,Less than high school,Private,1-2 times/week,Excellent,7-8,Medium,Retired,Yes,Normal,"$50,000-$75,000"
172-50-5343,Liver Disease,31-45,Female,Arizona,Asian,Never,Heavy,Bachelor's degree,Medicare,1-2 times/week,Excellent,8+,Medium,Retired,No,Obese,"$75,000-$100,000"
720-87-1512,Lung Cancer,18-30,Male,Washington,Native American,Current,Heavy,Some college,Medicaid,Never,Fair,8+,Low,Education,Yes,Underweight,"$75,000-$100,000"
678-58-9131,Chronic Kidney Disease,31-45,Female,Pennsylvania,Other,Never,Occasional,Graduate degree,Uninsured,Never,Excellent,Less than 6,High,Education,No,Obese,"$75,000-$100,000"
442-47-7927,Fibromyalgia,31-45,Male,Colorado,Other,Current,Regular,High school graduate,Uninsured,5+ times/week,Fair,7-8,Low,Retired,No,Underweight,"$75,000-$100,000"
155-56-2560,Colorectal Cancer,18-30,Other,Colorado,Black,Former,Never,Less than high school,Private,Never,Good,8+,Low,Retired,No,Normal,"$50,000-$75,000"
996-62-3478,Breast Cancer,31-45,Male,Colorado,Other,Never,Never,Less than high school,Medicare,5+ times/week,Good,Less than 6,Medium,Healthcare,Yes,Underweight,"$50,000-$75,000"
941-26-2887,Hypertension,46-60,Other,Texas,Other,Never,Never,Less than high school,Medicaid,3-4 times/week,Fair,7-8,Low,Education,Yes,Obese,"$50,000-$75,000"
112-82-4386,Hypertension,61+,Female,Illinois,Native American,Former,Regular,High school graduate,Uninsured,3-4 times/week,Excellent,7-8,Low,Healthcare,Yes,Normal,"$100,000+"
134-87-3697,Obesity,18-30,Female,Washington,Asian,Never,Occasional,High school graduate,Uninsured,5+ times/week,Excellent,6-7,Low,Retired,Yes,Overweight,"$30,000-$50,000"
324-61-6192,Depression,18-30,Male,Washington,Caucasian,Former,Never,Bachelor's degree,Private,1-2 times/week,Poor,6-7,Medium,Manual Labor,Yes,Normal,"$75,000-$100,000"
952-14-4039,Multiple Sclerosis,18-30,Male,Georgia,Black,Former,Occasional,High school graduate,Medicaid,3-4 times/week,Good,8+,Low,Healthcare,Yes,Obese,"$100,000+"
248-68-6239,Obesity,46-60,Female,California,Hispanic,Never,Regular,Bachelor's degree,Medicare,5+ times/week,Good,Less than 6,Low,Unemployed,Yes,Underweight,"$100,000+"
173-91-3411,Lung Cancer,46-60,Male,Texas,Asian,Never,Regular,Bachelor's degree,Private,Never,Poor,6-7,Low,Education,No,Underweight,"$75,000-$100,000"
457-73-9092,Hypertension,46-60,Female,Virginia,Asian,Never,Regular,Some college,Uninsured,Never,Poor,6-7,High,Manual Labor,Yes,Obese,"$100,000+"
491-19-5849,Liver Disease,61+,Male,Ohio,Asian,Current,Heavy,Some college,Uninsured,1-2 times/week,Fair,6-7,Low,Education,No,Overweight,"$75,000-$100,000"
605-42-5913,Liver Disease,46-60,Male,Ohio,Black,Former,Never,Graduate degree,Medicare,5+ times/week,Fair,8+,Low,Service Industry,No,Underweight,"$100,000+"
240-48-5662,Type 2 Diabetes,31-45,Other,North Carolina,Asian,Former,Occasional,Bachelor's degree,Medicaid,3-4 times/week,Excellent,7-8,Low,Unemployed,No,Overweight,"$30,000-$50,000"
332-38-8123,Chronic Kidney Disease,18-30,Other,New York,Hispanic,Current,Heavy,Bachelor's degree,Medicaid,5+ times/week,Poor,6-7,High,Education,No,Underweight,"$75,000-$100,000"
114-43-6467,Heart Disease,61+,Male,Washington,Black,Former,Occasional,High school graduate,Uninsured,Never,Poor,6-7,Low,Retired,Yes,Obese,"$50,000-$75,000"
828-44-8551,Obesity,61+,Other,Massachusetts,Caucasian,Never,Regular,High school graduate,Medicaid,1-2 times/week,Excellent,Less than 6,Low,Education,Yes,Normal,"$100,000+"
131-67-1082,Type 2 Diabetes,46-60,Female,Pennsylvania,Other,Never,Regular,Graduate degree,Medicare,3-4 times/week,Excellent,7-8,Medium,Unemployed,Yes,Normal,"Less than $30,000"
356-75-9541,Chronic Respiratory Disease,31-45,Male,Arizona,Black,Current,Regular,High school graduate,Uninsured,1-2 times/week,Poor,6-7,Medium,Manual Labor,No,Normal,"$100,000+"
601-65-2542,Sleep Apnea,31-45,Male,Washington,Hispanic,Current,Regular,Some college,Uninsured,3-4 times/week,Poor,Less than 6,Medium,Healthcare,Yes,Overweight,"$75,000-$100,000"
289-80-3419,Depression,46-60,Female,Texas,Other,Former,Occasional,Less than high school,Private,Never,Fair,7-8,Low,Education,No,Normal,"$30,000-$50,000"
157-27-2038,Sleep Apnea,18-30,Other,Florida,Native American,Never,Never,High school graduate,Medicare,5+ times/week,Good,Less than 6,Low,Service Industry,Yes,Normal,"Less than $30,000"
101-41-8574,Sleep Apnea,18-30,Female,Texas,Native American,Current,Regular,Graduate degree,Medicare,3-4 times/week,Good,7-8,Medium,Office/Desk Job,Yes,Obese,"$75,000-$100,000"
241-37-8226,Liver Disease,46-60,Male,Texas,Black,Former,Heavy,Bachelor's degree,Medicaid,3-4 times/week,Good,8+,Low,Manual Labor,No,Obese,"$100,000+"
503-92-9226,Type 2 Diabetes,31-45,Male,Massachusetts,Hispanic,Current,Occasional,Some college,Private,3-4 times/week,Good,6-7,Low,Unemployed,Yes,Normal,"$75,000-$100,000"
232-48-8750,Multiple Sclerosis,61+,Other,Illinois,Other,Current,Occasional,Some college,Private,3-4 times/week,Good,6-7,High,Retired,No,Underweight,"$30,000-$50,000"
543-98-8847,Arthritis,61+,Female,Illinois,Caucasian,Current,Occasional,Some college,Medicare,Never,Fair,8+,Medium,Retired,No,Overweight,"$50,000-$75,000"
661-52-3621,Lung Cancer,31-45,Male,North Carolina,Black,Current,Never,Some college,Medicare,Never,Good,8+,Medium,Service Industry,No,Normal,"$75,000-$100,000"
193-50-7390,Type 2 Diabetes,61+,Male,Georgia,Asian,Never,Never,Bachelor's degree,Medicare,1-2 times/week,Excellent,6-7,Low,Retired,Yes,Obese,"$75,000-$100,000"
325-54-7954,Lung Cancer,46-60,Male,Michigan,Native American,Current,Regular,Some college,Medicare,1-2 times/week,Poor,7-8,Low,Education,No,Overweight,"Less than $30,000"
773-46-3727,Type 2 Diabetes,61+,Female,Massachusetts,Hispanic,Former,Heavy,Some college,Medicare,Never,Poor,Less than 6,High,Retired,No,Normal,"$30,000-$50,000"
169-63-9555,Lung Cancer,31-45,Male,Colorado,Native American,Never,Heavy,High school graduate,Private,Never,Fair,Less than 6,Medium,Retired,No,Obese,"$50,000-$75,000"
607-15-8474,Sleep Apnea,46-60,Female,Pennsylvania,Caucasian,Former,Never,Bachelor's degree,Medicaid,3-4 times/week,Excellent,7-8,Low,Healthcare,No,Underweight,"$75,000-$100,000"
819-69-5709,Fibromyalgia,46-60,Male,Arizona,Caucasian,Former,Regular,High school graduate,Uninsured,5+ times/week,Poor,8+,Low,Retired,No,Underweight,"Less than $30,000"
203-33-5781,Sleep Apnea,46-60,Other,Massachusetts,Caucasian,Never,Heavy,Some college,Uninsured,3-4 times/week,Excellent,6-7,High,Unemployed,No,Overweight,"$75,000-$100,000"
364-70-2378,Chronic Respiratory Disease,46-60,Male,North Carolina,Native American,Never,Occasional,Graduate degree,Medicaid,1-2 times/week,Fair,6-7,Medium,Retired,Yes,Underweight,"$75,000-$100,000"
337-20-1922,Hypertension,61+,Male,Florida,Native American,Never,Regular,Bachelor's degree,Medicare,Never,Poor,8+,Medium,Retired,Yes,Underweight,"$100,000+"
641-77-8086,Lung Cancer,31-45,Male,Arizona,Other,Former,Heavy,Less than high school,Private,Never,Poor,6-7,Medium,Unemployed,Yes,Overweight,"$75,000-$100,000"
454-39-1458,Multiple Sclerosis,46-60,Other,Virginia,Black,Current,Occasional,High school graduate,Medicare,1-2 times/week,Good,Less than 6,High,Retired,Yes,Underweight,"$100,000+"
570-49-3464,Hypertension,46-60,Other,Ohio,Hispanic,Never,Heavy,High school graduate,Medicare,1-2 times/week,Good,6-7,Low,Education,No,Obese,"$75,000-$100,000"
859-64-9172,Arthritis,61+,Male,North Carolina,Asian,Former,Occasional,Bachelor's degree,Medicare,5+ times/week,Poor,Less than 6,Low,Retired,No,Normal,"Less than $30,000"
971-21-3508,Hypertension,61+,Male,Florida,Caucasian,Never,Heavy,Some college,Medicaid,Never,Excellent,7-8,Low,Retired,Yes,Underweight,"$100,000+"
140-53-8286,Colorectal Cancer,61+,Male,Texas,Other,Current,Heavy,Bachelor's degree,Medicaid,1-2 times/week,Poor,7-8,Medium,Retired,Yes,Overweight,"$100,000+"
521-30-9841,Type 2 Diabetes,18-30,Male,Colorado,Other,Current,Regular,Some college,Private,Never,Poor,6-7,Medium,Retired,Yes,Obese,"$100,000+"
659-52-1029,Hypertension,61+,Male,Michigan,Hispanic,Never,Never,Bachelor's degree,Medicaid,3-4 times/week,Fair,Less than 6,Low,Service Industry,Yes,Obese,"$50,000-$75,000"
551-36-4756,Arthritis,18-30,Female,Texas,Black,Current,Never,Some college,Uninsured,1-2 times/week,Poor,6-7,Low,Retired,No,Normal,"$75,000-$100,000"
960-52-8713,Chronic Respiratory Disease,46-60,Male,New York,Caucasian,Current,Heavy,Graduate degree,Uninsured,5+ times/week,Poor,6-7,High,Service Industry,No,Normal,"$100,000+"
467-37-9714,Lung Cancer,46-60,Other,Georgia,Caucasian,Current,Never,Some college,Medicaid,3-4 times/week,Poor,Less than 6,Medium,Office/Desk Job,No,Normal,"$75,000-$100,000"
993-64-2390,Chronic Respiratory Disease,46-60,Female,Washington,Other,Former,Occasional,Graduate degree,Medicaid,1-2 times/week,Poor,7-8,Medium,Retired,No,Normal,"$100,000+"
276-62-2874,Heart Disease,18-30,Female,Colorado,Native American,Never,Regular,Bachelor's degree,Medicare,Never,Poor,Less than 6,Medium,Retired,No,Obese,"$100,000+"
879-96-9699,Arthritis,31-45,Female,Illinois,Other,Never,Heavy,High school graduate,Medicaid,1-2 times/week,Excellent,7-8,High,Healthcare,No,Obese,"$30,000-$50,000"
309-25-6905,Lung Cancer,46-60,Male,Pennsylvania,Black,Current,Regular,Some college,Private,Never,Good,6-7,Medium,Office/Desk Job,No,Overweight,"$75,000-$100,000"
487-83-1400,Sleep Apnea,46-60,Female,Michigan,Black,Former,Regular,Graduate degree,Private,5+ times/week,Excellent,8+,Low,Office/Desk Job,No,Normal,"Less than $30,000"
383-29-5588,Fibromyalgia,61+,Male,New York,Caucasian,Former,Occasional,High school graduate,Medicare,1-2 times/week,Fair,7-8,High,Retired,Yes,Underweight,"$75,000-$100,000"
586-11-1996,Arthritis,61+,Female,Illinois,Native American,Former,Occasional,High school graduate,Medicare,Never,Fair,7-8,High,Retired,Yes,Underweight,"$100,000+"
123-51-8217,Depression,46-60,Other,Washington,Other,Current,Regular,Bachelor's degree,Medicare,5+ times/week,Good,6-7,Medium,Unemployed,No,Normal,"$75,000-$100,000"
660-10-3102,Obesity,61+,Male,Washington,Asian,Never,Occasional,High school graduate,Medicare,Never,Good,8+,Medium,Retired,Yes,Underweight,"$30,000-$50,000"
591-84-1144,Liver Disease,31-45,Female,Texas,Black,Former,Heavy,Graduate degree,Medicaid,1-2 times/week,Excellent,Less than 6,Medium,Manual Labor,Yes,Normal,"$100,000+"
342-24-3027,Fibromyalgia,18-30,Female,California,Hispanic,Never,Never,Less than high school,Private,3-4 times/week,Excellent,Less than 6,High,Manual Labor,Yes,Underweight,"$50,000-$75,000"
741-17-6956,Type 2 Diabetes,46-60,Male,California,Other,Former,Regular,Bachelor's degree,Medicare,1-2 times/week,Good,8+,Low,Unemployed,Yes,Normal,"$75,000-$100,000"
722-91-2390,Arthritis,46-60,Other,New York,Asian,Never,Regular,Graduate degree,Private,5+ times/week,Poor,7-8,High,Education,Yes,Underweight,"$50,000-$75,000"
216-50-4147,Hypertension,61+,Male,Georgia,Native American,Never,Regular,Bachelor's degree,Uninsured,1-2 times/week,Good,6-7,High,Service Industry,Yes,Normal,"$75,000-$100,000"
890-78-9280,Liver Disease,61+,Female,Michigan,Other,Current,Occasional,High school graduate,Medicare,3-4 times/week,Excellent,7-8,Medium,Retired,Yes,Overweight,"$30,000-$50,000"
957-69-1382,Breast Cancer,31-45,Male,Washington,Caucasian,Former,Never,Graduate degree,Medicaid,Never,Fair,8+,Medium,Healthcare,No,Overweight,"$75,000-$100,000"
844-17-1030,Hypertension,46-60,Female,California,Asian,Current,Never,Less than high school,Private,3-4 times/week,Good,8+,Low,Education,Yes,Obese,"$30,000-$50,000"
115-61-7671,Obesity,31-45,Male,Colorado,Black,Former,Heavy,Graduate degree,Medicare,1-2 times/week,Good,7-8,Low,Manual Labor,No,Obese,"$100,000+"
327-58-6993,Colorectal Cancer,61+,Male,Florida,Asian,Former,Heavy,Graduate degree,Uninsured,1-2 times/week,Fair,Less than 6,Low,Office/Desk Job,No,Underweight,"$75,000-$100,000"
546-99-1997,Sleep Apnea,31-45,Male,Arizona,Hispanic,Current,Occasional,Less than high school,Medicaid,3-4 times/week,Excellent,Less than 6,High,Service Industry,Yes,Overweight,"$30,000-$50,000"
389-51-6123,Hypertension,61+,Other,Texas,Native American,Former,Heavy,High school graduate,Uninsured,1-2 times/week,Good,8+,Medium,Unemployed,No,Normal,"$100,000+"
795-47-9674,Type 2 Diabetes,31-45,Other,Ohio,Native American,Never,Heavy,Graduate degree,Private,1-2 times/week,Good,Less than 6,Medium,Education,No,Obese,"Less than $30,000"
798-88-4143,Sleep Apnea,31-45,Female,Massachusetts,Asian,Never,Never,Some college,Medicare,3-4 times/week,Fair,6-7,Medium,Unemployed,No,Normal,"$50,000-$75,000"
954-39-3411,Sleep Apnea,46-60,Male,Texas,Hispanic,Former,Never,Graduate degree,Medicare,1-2 times/week,Fair,Less than 6,Medium,Retired,Yes,Overweight,"$100,000+"
986-98-5063,Arthritis,61+,Other,Pennsylvania,Other,Current,Occasional,Bachelor's degree,Private,Never,Poor,8+,High,Retired,No,Normal,"Less than $30,000"
646-97-3152,Chronic Respiratory Disease,31-45,Male,Pennsylvania,Hispanic,Current,Occasional,High school graduate,Private,3-4 times/week,Good,6-7,Medium,Office/Desk Job,No,Overweight,"$75,000-$100,000"
643-88-3012,Chronic Kidney Disease,61+,Other,Washington,Hispanic,Current,Occasional,Graduate degree,Medicare,5+ times/week,Fair,6-7,High,Retired,No,Underweight,"$100,000+"
993-51-5429,Heart Disease,61+,Male,New York,Other,Former,Regular,Some college,Uninsured,Never,Poor,6-7,Medium,Unemployed,No,Normal,"$100,000+"
626-36-2834,Colorectal Cancer,61+,Male,Illinois,Native American,Former,Heavy,Less than high school,Medicaid,5+ times/week,Fair,7-8,Medium,Manual Labor,Yes,Underweight,"$30,000-$50,000"
235-18-3258,Chronic Respiratory Disease,61+,Female,Michigan,Native American,Never,Regular,High school graduate,Medicaid,5+ times/week,Good,Less than 6,High,Retired,No,Underweight,"$50,000-$75,000"
172-42-9272,Multiple Sclerosis,31-45,Female,Arizona,Native American,Former,Never,Bachelor's degree,Medicaid,3-4 times/week,Excellent,7-8,Low,Healthcare,No,Overweight,"$75,000-$100,000"
179-98-4093,Hypertension,61+,Female,Pennsylvania,Other,Never,Never,Graduate degree,Medicare,3-4 times/week,Good,6-7,Low,Retired,No,Underweight,"$75,000-$100,000"
316-51-5214,Hypertension,46-60,Female,California,Native American,Current,Heavy,Graduate degree,Medicaid,5+ times/week,Excellent,Less than 6,High,Manual Labor,Yes,Obese,"$100,000+"
438-99-1495,Fibromyalgia,31-45,Male,Florida,Hispanic,Never,Occasional,High school graduate,Medicare,3-4 times/week,Poor,Less than 6,High,Service Industry,Yes,Normal,"Less than $30,000"
252-40-2919,Colorectal Cancer,18-30,Female,Florida,Caucasian,Current,Heavy,Bachelor's degree,Uninsured,3-4 times/week,Good,6-7,Low,Healthcare,Yes,Overweight,"$100,000+"
233-55-2455,Colorectal Cancer,31-45,Other,Ohio,Hispanic,Never,Occasional,High school graduate,Private,3-4 times/week,Excellent,Less than 6,High,Service Industry,Yes,Normal,"$50,000-$75,000"
974-42-7122,Obesity,18-30,Other,California,Native American,Never,Regular,Bachelor's degree,Medicare,3-4 times/week,Good,8+,Medium,Manual Labor,No,Obese,"$75,000-$100,000"
794-63-6577,Chronic Respiratory Disease,18-30,Male,North Carolina,Hispanic,Current,Heavy,Less than high school,Medicare,1-2 times/week,Good,8+,Medium,Manual Labor,No,Overweight,"$75,000-$100,000"
611-80-5687,Type 2 Diabetes,46-60,Female,Illinois,Other,Current,Heavy,Less than high school,Medicaid,5+ times/week,Good,6-7,Low,Education,Yes,Normal,"Less than $30,000"
901-41-6385,Colorectal Cancer,46-60,Male,Washington,Hispanic,Former,Heavy,Bachelor's degree,Private,1-2 times/week,Good,Less than 6,High,Healthcare,Yes,Normal,"$100,000+"
733-19-8879,Sleep Apnea,18-30,Male,New York,Black,Former,Regular,Some college,Medicare,1-2 times/week,Fair,6-7,Low,Education,Yes,Underweight,"Less than $30,000"
733-97-8772,Chronic Respiratory Disease,31-45,Male,Michigan,Caucasian,Current,Heavy,High school graduate,Uninsured,3-4 times/week,Poor,Less than 6,High,Manual Labor,Yes,Obese,"Less than $30,000"
590-20-6837,Type 2 Diabetes,46-60,Other,Massachusetts,Black,Current,Never,Graduate degree,Medicaid,1-2 times/week,Fair,Less than 6,Low,Retired,No,Underweight,"$100,000+"
366-43-6503,Multiple Sclerosis,46-60,Female,Virginia,Other,Never,Heavy,Graduate degree,Medicare,5+ times/week,Excellent,6-7,Low,Education,No,Normal,"$75,000-$100,000"
481-73-2139,Hypertension,46-60,Male,Massachusetts,Black,Current,Heavy,Bachelor's degree,Private,1-2 times/week,Poor,Less than 6,High,Retired,No,Obese,"$30,000-$50,000"
391-49-3948,Chronic Respiratory Disease,31-45,Male,Michigan,Black,Current,Never,Less than high school,Uninsured,1-2 times/week,Poor,Less than 6,High,Education,No,Normal,"$100,000+"
516-17-2445,Chronic Kidney Disease,46-60,Male,Washington,Caucasian,Former,Heavy,Less than high school,Private,Never,Fair,7-8,Medium,Healthcare,No,Underweight,"$30,000-$50,000"
266-47-9063,Depression,31-45,Female,Florida,Asian,Former,Occasional,Some college,Private,1-2 times/week,Poor,6-7,High,Retired,No,Normal,"$30,000-$50,000"
112-69-7326,Obesity,31-45,Female,Virginia,Other,Current,Heavy,Less than high school,Medicaid,Never,Fair,7-8,Medium,Manual Labor,No,Underweight,"$75,000-$100,000"
151-77-7706,Heart Disease,46-60,Male,Massachusetts,Caucasian,Current,Occasional,Graduate degree,Medicaid,Never,Fair,Less than 6,Low,Office/Desk Job,No,Obese,"$100,000+"
184-92-1221,Heart Disease,61+,Other,North Carolina,Other,Never,Never,High school graduate,Uninsured,1-2 times/week,Fair,Less than 6,High,Retired,Yes,Obese,"Less than $30,000"
800-81-9296,Lung Cancer,31-45,Male,Texas,Hispanic,Former,Regular,High school graduate,Medicare,1-2 times/week,Good,7-8,High,Service Industry,Yes,Normal,"$50,000-$75,000"
